,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Legenda
A = Atingido
AP = Atingido Parcialmente
NA = Não atingido
Aa = Atingido com atraso
APa = Atingido Parcialmente com atraso","acumulado das avaliações 
realizadas, recebidas e total",av. realizadas,3.9,av. recebidas,4.4,total alpha,8.3,av. realizadas,3.98,av. recebidas,4.4,total beta,8.4,av. realizadas,3.70,av. recebidas,4.1,total zeta,7.8,av. realizadas,3.89,av. recebidas,3.8,total sigma,7.6
,,Time Avaliado,Alpha,,,,,,Beta,,,,,,Zeta,,,,,,Sigma,,,,,
,Missão,Time Avaliador,B,Z,S,,,L,A,Z,S,,,L,A,B,S,,,L,A,B,Z,,,L
,1. Problem-Tech Fit,avaliação das avaliações,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
,,Time e papéis,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A
,,Quadro trello,A,A,A,0.33,,A,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP,A,A,A,0.33,,A
,,5 matches,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A
,2. Tecnologias Demonstráveis,avaliação das avaliações,1.0,1.0,1.0,,,,0.7,0.7,0.7,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
,,Tec 1,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A
,,Tec 2,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A
,,Tec 3,A,A,A,0.33,,A,A,A,A,0.33,,-,A,A,A,0.33,,A,A,A,A,0.33,,A
,3. Avaliando Concorrentes,avaliação das avaliações,0.7,0.7,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
,,Revisão dos concorrentes,AP,AP,AP,0.17,,AP,AP,AP,AP,0.17,,AP,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP
,,Oceano azul,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP
,,Votação,AP,AP,NA,0.11,,NA,AP,AP,AP,0.17,,AP,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP
,4. Ideação e Storyboard,avaliação das avaliações,1.0,0.7,1.0,,,,0.7,0.7,0.7,,,,0.7,1.0,1.0,,,,1.0,1.0,1.0,,,
,,Repertório,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A
,,Ideação,AP,A,AP,0.22,,AP,AP,AP,AP,0.17,,AP,A,AP,AP,0.22,,AP,A,A,A,0.33,,A
,,Storyboard,A,A,A,0.33,,A,A,A,A,0.33,,AP,NA,NA,NA,0.00,,NA,A,A,A,0.33,,A
,5. Prototipação,avaliação das avaliações,0.0,0.0,0.0,,,,0.7,0.7,0.7,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
,,Protótipos em papel,A,A,A,0.33,,-,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP,AP,AP,AP,0.17,,AP
,,Design system,A,A,A,0.33,,-,A,A,A,0.33,,AP,AP,AP,AP,0.17,,AP,AP,AP,AP,0.17,,AP
,,Protótipo Hi-fi,A,A,A,0.33,,-,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP,AP,AP,AP,0.17,,AP
,6. Testes,avaliação das avaliações,0.7,0.7,0.7,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,
,,Roteiro de experimentos,AP,AP,AP,0.17,,AP,A,A,A,0.33,,A,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP
,,Testes com 3 pessoas,A,A,A,0.33,,NA,A,A,A,0.33,,A,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP
,,Integração Tela-Tech,A,A,A,0.33,,A,A,A,A,0.33,,A,A,A,A,0.33,,A,AP,AP,AP,0.17,,AP
